Name,Country,Description,Launch_Date,Founders,Revenue_Year_1,Revenue_Year_2,Revenue_Year_3,Current_Status
Quantum AgriTech Wave 150,India,A leading India-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2020-03-23,"Anjali Rao, Sarah Jenkins, Rohan Das",$274k,$870k,$14.2M,Acquired
Global Logistics Wave 151,Australia,A leading Australia-based Logistics startup specializing in scalable and innovative solutions for the global market.,2018-04-22,Aisha Khan,$74k,$613k,$11.6M,Successful
Core EdTech Network 152,South Korea,A leading South Korea-based EdTech startup specializing in scalable and innovative solutions for the global market.,2013-12-09,Michael O'Connor,$265k,$522k,$1.9M,Acquired
Zenith E-commerce Systems 153,Singapore,A leading Singapore-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2015-02-17,Emma Wilson,$301k,$1.8M,$8.7M,Failed
NextGen PropTech Technologies 154,Japan,A leading Japan-based PropTech startup specializing in scalable and innovative solutions for the global market.,2021-01-04,Michael O'Connor,$173k,$1.7M,$10.0M,Successful
Nova AgriTech Point 155,Singapore,A leading Singapore-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2021-02-10,Anjali Rao,$17k,$1.8M,$6.7M,Successful
Smart AI/ML Labs 156,Singapore,A leading Singapore-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2011-07-02,"Elena Rossi, Vikram Singh, Anjali Rao",$92k,$1.9M,$13.9M,Successful
Prime FinTech Hub 157,Canada,A leading Canada-based FinTech startup specializing in scalable and innovative solutions for the global market.,2015-06-06,"Anjali Rao, Arjun Mehta",$71k,$1.2M,$4.9M,Acquired
Global EdTech Labs 158,Japan,A leading Japan-based EdTech startup specializing in scalable and innovative solutions for the global market.,2016-01-25,"Emma Wilson, Sanjay Gupta, Anjali Rao",$181k,$1.7M,$14.5M,Successful
Apex BioTech Labs 159,Australia,A leading Australia-based BioTech startup specializing in scalable and innovative solutions for the global market.,2020-02-22,"Aisha Khan, Vikram Singh, Priya Sharma",$110k,$1.0M,$14.8M,Successful
Core Logistics Nexus 160,Israel,A leading Israel-based Logistics startup specializing in scalable and innovative solutions for the global market.,2014-10-25,Sanjay Gupta,$143k,$274k,$4.0M,Successful
Smart HealthTech Flow 161,Germany,A leading Germany-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2014-09-25,"Vikram Singh, Li Wei, Anjali Rao",$470k,$1.4M,$9.4M,Successful
Smart FinTech Network 162,India,A leading India-based FinTech startup specializing in scalable and innovative solutions for the global market.,2019-02-25,Anjali Rao,$6k,$304k,$2.5M,Acquired
Prime SaaS Solutions 163,Israel,A leading Israel-based SaaS startup specializing in scalable and innovative solutions for the global market.,2021-09-19,"Vikram Singh, Rohan Das, Priya Sharma",$193k,$1.3M,$3.9M,Acquired
Prime SaaS Flow 164,UK,A leading UK-based SaaS startup specializing in scalable and innovative solutions for the global market.,2013-04-12,"Anjali Rao, Elena Rossi",$81k,$864k,$13.6M,Successful
Smart FinTech Wave 165,Germany,A leading Germany-based FinTech startup specializing in scalable and innovative solutions for the global market.,2021-05-21,David Chen,$149k,$350k,$9.6M,Successful
Apex BioTech Solutions 166,South Korea,A leading South Korea-based BioTech startup specializing in scalable and innovative solutions for the global market.,2011-07-10,"Aisha Khan, Li Wei",$133k,$1.3M,$9.8M,Acquired
NextGen Logistics Network 167,Singapore,A leading Singapore-based Logistics startup specializing in scalable and innovative solutions for the global market.,2013-02-06,"Emma Wilson, Arjun Mehta",$199k,$1.9M,$11.8M,Successful
Smart FinTech Solutions 168,UK,A leading UK-based FinTech startup specializing in scalable and innovative solutions for the global market.,2019-07-08,Priya Sharma,$216k,$596k,$4.4M,Acquired
Global Cybersecurity Systems 169,Japan,A leading Japan-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2016-11-06,Aisha Khan,$262k,$314k,$9.7M,Failed
Zenith BioTech Labs 170,USA,A leading USA-based BioTech startup specializing in scalable and innovative solutions for the global market.,2016-08-27,"Sanjay Gupta, Aisha Khan",$109k,$1.2M,$7.4M,Failed
Global AI/ML Network 171,UAE,A leading UAE-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2012-02-24,Kavita Reddy,$132k,$945k,$14.7M,Successful
NextGen Logistics Labs 172,India,A leading India-based Logistics startup specializing in scalable and innovative solutions for the global market.,2018-02-15,Li Wei,$397k,$1.4M,$6.6M,Successful
Elite AgriTech Wave 173,Brazil,A leading Brazil-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2017-11-08,Arjun Mehta,$249k,$290k,$12.8M,Successful
Prime PropTech Solutions 174,Canada,A leading Canada-based PropTech startup specializing in scalable and innovative solutions for the global market.,2020-01-20,"Aisha Khan, Arjun Mehta",$152k,$669k,$10.7M,Successful
Elite E-commerce Wave 175,South Korea,A leading South Korea-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2022-03-15,Michael O'Connor,$447k,$627k,$13.7M,Failed
Nova AI/ML Labs 176,Australia,A leading Australia-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2019-09-21,"Michael O'Connor, Elena Rossi, Sarah Jenkins",$108k,$2.0M,$5.1M,Successful
Global SaaS Solutions 177,Japan,A leading Japan-based SaaS startup specializing in scalable and innovative solutions for the global market.,2018-07-03,Emma Wilson,$274k,$1.9M,$1.3M,Acquired
Core BioTech Hub 178,Japan,A leading Japan-based BioTech startup specializing in scalable and innovative solutions for the global market.,2017-03-01,"Sarah Jenkins, Elena Rossi",$414k,$553k,$8.2M,Failed
Apex SaaS Network 179,UAE,A leading UAE-based SaaS startup specializing in scalable and innovative solutions for the global market.,2015-04-23,"Michael O'Connor, Emma Wilson",$481k,$100k,$8.2M,Successful
Apex PropTech Systems 180,Canada,A leading Canada-based PropTech startup specializing in scalable and innovative solutions for the global market.,2011-03-23,Rohan Das,$434k,$638k,$8.1M,Successful
Prime PropTech Point 181,UAE,A leading UAE-based PropTech startup specializing in scalable and innovative solutions for the global market.,2012-01-20,"Sarah Jenkins, Elena Rossi",$148k,$958k,$6.9M,Successful
NextGen AI/ML Flow 182,Israel,A leading Israel-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2019-07-09,"Vikram Singh, Priya Sharma, Michael O'Connor",$302k,$1.4M,$12.9M,Successful
Zenith AI/ML Labs 183,France,A leading France-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2021-03-17,Elena Rossi,$490k,$657k,$3.6M,Successful
Core AgriTech Hub 184,India,A leading India-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2010-09-08,"Michael O'Connor, Sanjay Gupta",$274k,$1.8M,$10.6M,Successful
Nova EdTech Systems 185,Germany,A leading Germany-based EdTech startup specializing in scalable and innovative solutions for the global market.,2012-02-24,"Elena Rossi, Arjun Mehta, Rohan Das",$94k,$843k,$5.6M,Successful
Nova Cybersecurity Network 186,South Korea,A leading South Korea-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2011-09-14,"Li Wei, Vikram Singh",$106k,$470k,$7.7M,Successful
Quantum Logistics Nexus 187,USA,A leading USA-based Logistics startup specializing in scalable and innovative solutions for the global market.,2016-05-20,"Aisha Khan, Priya Sharma, Sarah Jenkins",$310k,$1.4M,$5.3M,Acquired
Zenith AgriTech Hub 188,Brazil,A leading Brazil-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2018-01-08,Emma Wilson,$355k,$957k,$4.2M,Acquired
Apex CleanTech Wave 189,USA,A leading USA-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2011-02-11,Sanjay Gupta,$233k,$651k,$7.0M,Successful
Smart Cybersecurity Flow 190,India,A leading India-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2017-04-02,"Kavita Reddy, Arjun Mehta, Sarah Jenkins",$16k,$396k,$1.6M,Successful
Smart EdTech Wave 191,UK,A leading UK-based EdTech startup specializing in scalable and innovative solutions for the global market.,2019-05-14,"Aisha Khan, Arjun Mehta, Kavita Reddy",$409k,$1.1M,$8.1M,Acquired
Quantum FinTech Wave 192,Israel,A leading Israel-based FinTech startup specializing in scalable and innovative solutions for the global market.,2019-06-24,"Sanjay Gupta, Anjali Rao, Vikram Singh",$412k,$347k,$14.0M,Successful
Quantum CleanTech Technologies 193,Australia,A leading Australia-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2021-08-12,"Arjun Mehta, Li Wei",$291k,$1.0M,$2.0M,Successful
Apex AI/ML Technologies 194,France,A leading France-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2012-01-05,Arjun Mehta,$114k,$107k,$13.1M,Successful
NextGen Logistics Systems 195,Israel,A leading Israel-based Logistics startup specializing in scalable and innovative solutions for the global market.,2011-08-26,"Sarah Jenkins, Vikram Singh",$137k,$963k,$12.3M,Successful
Nova HealthTech Flow 196,Japan,A leading Japan-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2019-03-09,"Michael O'Connor, Li Wei, Arjun Mehta",$434k,$203k,$6.0M,Acquired
Prime EdTech Technologies 197,Germany,A leading Germany-based EdTech startup specializing in scalable and innovative solutions for the global market.,2017-08-21,Vikram Singh,$110k,$1.4M,$10.5M,Failed
Prime Logistics Solutions 198,USA,A leading USA-based Logistics startup specializing in scalable and innovative solutions for the global market.,2020-07-21,"Anjali Rao, Kavita Reddy, Elena Rossi",$373k,$729k,$8.2M,Successful
Quantum HealthTech Solutions 199,India,A leading India-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2017-06-19,"Aisha Khan, Elena Rossi, Rohan Das",$489k,$1.9M,$4.9M,Acquired
Prime BioTech Network 200,USA,A leading USA-based BioTech startup specializing in scalable and innovative solutions for the global market.,2012-02-26,"Kavita Reddy, Anjali Rao, Elena Rossi",$203k,$538k,$1.2M,Successful
Quantum Logistics Flow 201,UK,A leading UK-based Logistics startup specializing in scalable and innovative solutions for the global market.,2015-09-25,Kavita Reddy,$228k,$1.5M,$13.7M,Successful
Zenith SaaS Labs 202,South Korea,A leading South Korea-based SaaS startup specializing in scalable and innovative solutions for the global market.,2014-03-06,"Anjali Rao, Kavita Reddy, Elena Rossi",$306k,$204k,$15.0M,Failed
Apex EdTech Network 203,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,2017-09-09,"Aisha Khan, Sarah Jenkins",$394k,$1.6M,$7.3M,Successful
Core BioTech Flow 204,UK,A leading UK-based BioTech startup specializing in scalable and innovative solutions for the global market.,2010-02-22,"Elena Rossi, Emma Wilson",$132k,$1.7M,$3.7M,Acquired
Quantum Cybersecurity Point 205,Japan,A leading Japan-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2011-11-10,"Priya Sharma, Rohan Das",$98k,$1.5M,$4.8M,Successful
Global SaaS Solutions 206,France,A leading France-based SaaS startup specializing in scalable and innovative solutions for the global market.,2014-01-14,"Priya Sharma, Emma Wilson, Li Wei",$182k,$402k,$1.1M,Successful
Apex SaaS Labs 207,USA,A leading USA-based SaaS startup specializing in scalable and innovative solutions for the global market.,2019-08-18,"Sarah Jenkins, Priya Sharma, Kavita Reddy",$386k,$1.4M,$5.8M,Failed
Apex FinTech Point 208,Japan,A leading Japan-based FinTech startup specializing in scalable and innovative solutions for the global market.,2021-09-03,"Anjali Rao, Priya Sharma, Sarah Jenkins",$397k,$115k,$9.8M,Successful
Elite AI/ML Flow 209,USA,A leading USA-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2014-05-21,"Rohan Das, Priya Sharma, Anjali Rao",$88k,$312k,$4.8M,Successful
Prime E-commerce Nexus 210,Israel,A leading Israel-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2011-08-19,Priya Sharma,$370k,$664k,$2.6M,Acquired
NextGen Cybersecurity Systems 211,Israel,A leading Israel-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2011-07-08,Kavita Reddy,$136k,$676k,$9.2M,Successful
Zenith Logistics Technologies 212,Australia,A leading Australia-based Logistics startup specializing in scalable and innovative solutions for the global market.,2015-10-02,"Aisha Khan, David Chen",$353k,$635k,$8.8M,Successful
Core AI/ML Solutions 213,Israel,A leading Israel-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2014-10-12,"Sarah Jenkins, Li Wei, Aisha Khan",$135k,$1.8M,$11.8M,Successful
Core BioTech Systems 214,India,A leading India-based BioTech startup specializing in scalable and innovative solutions for the global market.,2013-07-25,"David Chen, Sarah Jenkins",$65k,$1.6M,$10.6M,Successful
Nova E-commerce Systems 215,Australia,A leading Australia-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2012-01-15,Kavita Reddy,$78k,$1.1M,$14.5M,Failed
Nova EdTech Hub 216,Japan,A leading Japan-based EdTech startup specializing in scalable and innovative solutions for the global market.,2022-02-19,"Elena Rossi, Emma Wilson",$223k,$1.8M,$7.6M,Successful
Prime EdTech Hub 217,France,A leading France-based EdTech startup specializing in scalable and innovative solutions for the global market.,2012-01-05,"Elena Rossi, Kavita Reddy",$312k,$126k,$6.8M,Successful
Nova AgriTech Wave 218,India,A leading India-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2022-03-23,Sanjay Gupta,$75k,$1.5M,$8.9M,Successful
Zenith AI/ML Systems 219,Australia,A leading Australia-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2011-05-25,"Elena Rossi, Sanjay Gupta",$400k,$1.9M,$11.1M,Successful
Quantum BioTech Nexus 220,UK,A leading UK-based BioTech startup specializing in scalable and innovative solutions for the global market.,2014-10-02,"Sanjay Gupta, David Chen, Li Wei",$15k,$1.2M,$10.4M,Successful
